Window,Spectral Centroid,Centroid Spread,Centroid Skewness,Spectral Entropy,Spectral Flux,Fundamental Tone Difference
33,3315.7804733430003,1071.857118292116,-0.7070121661495877,3.859608,403.47437,0.9284253921001804
34,2527.179417336854,557.2907186734344,0.6928815892810147,4.0667434,394.22348,0.5214802267600972
35,2793.4478357981357,842.1066236738532,0.6763899708466664,4.075646,349.4369,0.06098184430919367
36,3448.0657966847957,748.3920549992816,-0.2870133643753059,4.0222154,268.69342,0.4860356634151243
37,3604.536423698403,306.0226304946226,0.44657693911101065,4.8401365,387.50287,0.3587537048054666
38,3423.638199322791,122.24575035523141,-0.6377939557829826,5.4504457,388.492,0.31247733138387723
39,3314.295428908835,268.91178769958213,-0.20575241948783424,5.7409153,437.5996,0.31177424693399036
40,3389.497532918355,180.3785229034512,0.5728136181844438,5.556311,334.5133,0.4738023283845931
41,3541.6781937144533,391.8894271440683,-0.4666047404246144,6.157711,456.59015,0.5392067465883815
42,3045.4104222423107,711.1774660445108,0.5793751364495443,5.9043045,437.65375,0.8811925023303432
43,2710.77986537776,289.98669803037126,0.7069738792078337,5.183468,356.36304,0.6224934800860982
44,3453.71985672468,395.01008320597987,-0.4786188046995295,5.1689057,277.09943,0.1304416778607171
45,3899.22760049528,268.18691378699407,-0.3783725453017086,5.181378,339.33777,0.313318860640285
46,4335.918196382346,739.9203243582491,0.5954152937357824,4.9629006,360.36847,0.6734716960252077
47,4397.007765805039,863.7118941771421,-0.7070988081214115,4.9446406,322.8692,0.3870480530772651
48,3328.281489551176,484.3669649767354,0.44045171737924316,4.961656,402.03467,0.18627208172425982
49,3167.183564375027,89.44580009283426,-0.6663820012033115,5.3660874,509.7704,0.7515188186395035
50,3060.237757387911,39.237930351603396,-0.4364655016222487,5.1011405,416.80682,0.2848828009195134
51,3066.002698319737,22.664405859838222,-0.6406138988459467,4.6744514,398.4577,0.10626137106384395
52,3144.6049088077075,367.5921176373669,-0.32430638040210236,4.316961,254.07465,0.05937261410694486
53,3258.031298696056,258.09952534818814,0.32628161908035846,4.1437087,238.4839,0.09515120910328369
54,3203.568981106903,390.5804873247974,-0.4652747831767692,4.99005,398.59802,0.23433388631526608
55,3104.1024756719357,860.1010446346444,0.06744622581749675,5.4098783,399.23505,0.1403663891363306
56,3888.828623769177,725.705753015511,0.14488277766242158,6.3333907,369.65454,0.2047061613555131
57,4064.80228314666,418.65641316721,-0.4011181755702015,6.2232533,419.47784,0.8933671874853916
58,4147.620968326006,542.9734080311881,-0.5751269287879709,5.56162,318.3924,1.094385957763772
59,4249.6281831036,725.9204853778132,-0.36591249666198067,4.881899,463.74677,0.818392914075151
60,3621.4958286231267,835.8425975929516,-0.618420510897921,4.6182427,264.50885,0.0
61,4090.7214463210935,1165.497177053319,-0.07686942225640017,4.923806,260.86584,0.16242239959845414
62,4759.89003564496,1447.8364668266204,0.6112565476977566,4.875609,204.8414,0.34565934358308004
63,3678.9546996256377,394.6378199525162,-0.5157428016140948,4.4440556,383.69565,1.228972492144948
64,4282.905197723477,187.6204608555145,-0.48507561288706774,4.529826,389.0191,1.2628206634838453
65,4202.052124312712,728.0540687058083,0.5861442885554564,4.7461276,427.37234,0.5940776345427219
66,3838.050352029717,432.96021840757334,0.6054215939242369,4.2076497,378.50647,0.36875246457324645
67,4052.0643900608816,768.8172485864987,-0.6836430226749881,4.4214306,260.60043,0.6549465776455272
68,3752.463448690958,747.4741063626707,-0.5289002537757806,5.6135316,242.45367,0.8821488314141411
69,3455.4980155004173,833.7138761251467,0.08785030558579411,5.3928638,310.93597,1.1221454433279934
70,2531.917418283293,274.47678932746953,0.39296055183295064,5.146498,353.0276,0.7778311366124253
71,3261.8777632488404,897.2276708316482,0.49673880945325966,4.807242,336.74005,0.7796409099713557
72,3556.4637249608854,524.9175702670639,0.18738076911437537,4.760503,225.98883,0.9170828622372339
73,4135.398748098062,853.6622850724337,0.5838949014105915,5.3625655,295.394,0.761581097803925
74,3738.849691654256,930.2678895269194,0.41495838451882877,4.9578815,301.8495,0.632960918354098
75,3298.419956274842,232.28018588181337,0.3097207872692419,4.917736,292.71558,0.4522168706886395
76,3400.4339154801805,299.31927960042344,-0.7067512274473423,6.355409,286.27118,0.8448370266609466
77,3521.2649215368224,560.3845734047967,0.30266964126331974,6.122808,343.9335,0.8562488986098747
78,3219.3296896816632,403.36971551263423,-0.6055919164076893,5.6892543,356.47504,0.6703983815612131
79,3583.942809857596,529.813530979377,0.45078704474704473,5.302604,319.43042,0.5756430724696525
80,3457.2856172804663,869.8509779255294,0.6192429446017985,5.290263,335.24194,0.39633723339183835
81,2492.1028031166175,28.473280292629564,-0.6985772964500988,5.6449437,447.5799,0.23185998653654102
82,2307.7133632059795,27.34445120903576,0.706605804796636,5.583121,448.33606,1.1530061101548468
83,2296.442952845695,180.36905905473006,-0.172497590525666,5.304219,410.30518,0.5396695279401496
84,2776.769218997899,412.5711176886841,-0.6756681103759056,5.3226743,379.31256,0.40133407193873416
