Delta,Theta,Alpha,Beta,Gamma
17.15981822,117.2513272,34.16557831,43.67944588,15.41443207
7.376609674,42.18760951,15.59349664,30.76077253,10.41035723
15.56891662,39.59929339,15.36153394,28.5697554,9.747666094
15.28072013,62.88185343,23.28206865,38.51279697,13.66606261
13.81296434,191.8442258,49.27779035,45.70624868,14.4569303
5.5450309,24.99340915,10.74658716,25.3100678,10.58123671
8.648621321,71.12443723,21.95635085,30.3964505,11.17010752
8.355149224,44.36138905,15.59642356,33.60621544,13.9992099
8.931052977,42.4936975,13.9768796,25.4723928,8.836279537
7.507371464,25.11756924,11.04050394,24.22496538,8.573086874
11.55928713,37.41435631,14.74110129,28.26719969,10.38530693
7.268321596,27.38109325,11.57272443,22.66206807,7.33994032
4.94276226,21.20983504,9.310511735,24.19283208,11.23272854
4.405286748,28.17667325,12.01980853,24.70504002,10.3897478
4.898527657,46.56060389,16.10202595,37.71636887,17.84955718
4.983721767,43.69933149,14.91946447,29.82756245,12.99065822
3.74081539,29.05628774,11.25741127,21.10916126,7.762967569
137.5412447,2058.892067,481.3290497,496.4610122,300.1400109
45.13065473,866.0041384,262.6818288,1215.846647,866.9042253
28.93208136,431.3713044,228.5704369,1339.787815,800.8196665
62.58736828,1650.486336,423.6595755,1094.163616,731.4814894
76.7857461,2271.742893,497.3543517,1115.119288,888.8544174
34.17157921,607.4521282,330.6175683,1298.4421,823.8249535
57.70207981,992.9631918,358.8829231,1020.900343,581.0138236
144.8735076,6092.238062,731.856546,556.3144883,423.4416219
38.91075959,516.38899,209.6475887,1061.850026,861.6676865
71.50180082,1350.789998,444.3136012,1515.840464,906.0986842
46.52435988,1122.308132,371.6138587,1348.244812,894.140518
31.76717451,567.64381,247.1123191,1066.615598,654.9805855
209.1584272,11005.63256,1304.52012,1255.032451,793.5138118
93.20838666,2403.770611,525.3610179,1710.801261,1188.740498
92.45308196,2804.884477,465.2757061,2120.83602,1490.426161
97.46612336,2154.924402,350.0190781,942.578426,681.6200712
66.01763225,1873.862165,389.7379585,1819.235743,1214.832126
20.72186683,461.4227052,265.8966768,1685.166239,1225.220472
83.11848226,1031.849691,279.596932,1456.233253,1125.064151
49.49700712,678.2238935,276.3746909,1223.810646,891.7524193
17.19035774,504.5488201,216.2151115,1413.755167,868.9568749
22.36116859,381.7372914,178.0261739,763.7106727,543.2293691
77.32225015,1888.905873,411.6348951,1193.133399,854.6029761
3.754005098,7.800663667,5.740432588,17.60983232,8.957556229
5.437375673,7.815782822,5.056119418,12.01924931,5.886885449
7.583328102,13.78271711,8.858798731,21.37760687,10.60543254
8.027107679,11.7732472,7.110646807,18.72871073,9.987097966
3.588175205,9.969409299,4.850684335,7.259342977,2.221111142
10.25809821,6.337793808,4.122814984,7.650931568,2.529535762
11.20430777,9.386733073,5.422682805,8.930892662,3.018831441
5.929345648,7.558658862,5.610970435,17.35150581,9.270107976
12.48460323,9.391342973,5.560436688,12.77002304,5.689367346
9.228416415,12.46822399,8.955216272,30.77537851,18.14303542
7.647101254,14.25994556,7.021533426,18.53135271,9.613064304
5.728135618,9.834198398,5.649553061,17.8928655,9.61480778
2.073305968,7.277618131,4.602037421,10.41944343,4.351669541
4.139808787,10.16213325,5.114424344,11.86699838,4.097827875
7.923279467,8.020413195,5.920692649,15.95004665,8.200493752
2.306177734,6.288851378,4.820657588,14.67198905,7.609324225
6.989016751,6.754336285,4.738423299,7.871701408,2.788862735
6.914715584,7.671862353,5.172642595,10.90153975,4.065648532
2.149521678,6.283849491,6.451448241,16.33201258,7.555147005
4.130265937,8.514500472,5.05193432,18.25748594,9.739554867
4.096169074,8.011415272,5.373905442,15.03967848,7.039167592
3.333031114,6.680983057,4.304764864,10.98978742,4.51788531
4.241494576,7.283434298,3.908290533,11.34482236,4.800172429
78.77258874,460.1614783,151.4476587,58.15344554,11.08569953
152.210535,1907.958119,247.1645615,79.48491837,10.62567338
291.203452,2095.041659,287.2140292,95.05544025,8.605687325
120.6933095,498.6062471,164.9880765,62.80856512,6.795011897
110.6319581,759.1385038,181.5623861,73.82191287,10.54911359
156.6355505,1023.509501,212.7698816,78.496636,8.250365597
106.1658027,906.5225664,161.2110671,48.7840846,6.330928045
180.134453,705.2587743,150.8854033,57.03963943,6.252982408
238.2170542,858.3695262,167.7777435,67.1819981,8.458283565
482.9971323,6483.849139,684.0698804,141.8774443,7.96151776
294.8473422,5722.12269,697.6633738,169.3214649,8.253636274
202.510032,3742.656241,439.0281266,104.6715598,8.797528689
173.3032087,3967.544611,432.8463198,104.8074211,7.364498015
218.1442671,5581.243713,609.3567456,132.9905628,13.13104523
175.9968654,1825.820695,175.1346368,56.278829,9.3452365
175.8856402,1428.332657,177.9337075,59.42596081,7.773034799
189.5796231,1482.679752,194.8263623,63.72071043,7.205481042
330.4240499,5501.091785,576.0203859,115.6117014,8.856016036
32.66645972,308.3665234,130.2649875,44.91493347,8.28212906
100.1502796,1161.209911,196.9544077,61.64275569,13.84031308
115.4343728,1799.717092,305.4745943,74.93122455,8.5987206
86.65909243,826.0574048,185.8061852,60.21216655,12.83992098
94.35077016,757.6350913,137.8851143,43.53936664,6.674701433
44.43665489,460.7422208,114.013869,141.6860396,65.88192937
67.44548425,599.9089295,163.5569673,200.6605498,81.72143882
218.4405717,1717.121393,408.2790627,323.9958409,52.45480678
112.1044787,1089.891361,276.2360601,257.9184544,105.2286627
183.4156875,1255.999691,344.3271352,261.7628742,88.1149292
114.2995158,689.2172125,193.4709701,223.6298744,92.74197316
82.64836395,584.8294263,161.8685088,260.8135358,140.2709723
123.558307,645.8014361,168.1058301,220.8464756,86.41220227
169.4158458,855.69627,190.124083,250.8883558,117.8225317
325.991481,2034.076161,479.330282,368.0768359,87.07783886
76.52157327,748.9866667,193.2976183,227.5596454,97.74125794
121.9802822,591.9682935,161.6397397,207.8824099,73.52364038
110.4755658,523.9896899,151.5888211,215.5487851,115.648756
65.97798132,610.3566728,166.0101398,211.3358837,90.65006374
74.485199,371.90216,126.7364923,173.1376019,64.88019047
53.6279192,686.8565201,135.039753,179.620868,129.9136553
77.044643,669.468466,156.7437117,256.7449534,142.0492429
90.47039099,973.6385822,268.1340643,251.0104111,101.2987826
16.16486638,215.7717035,69.82670444,179.5081232,79.00857607
50.64139797,429.7690406,121.8311906,224.0716774,153.5842947
46.04248055,565.3252816,145.2824863,306.0581377,177.3185953
69.83135911,368.184719,109.7177144,184.4054655,70.73812761
71.27411027,414.0800081,114.5281995,230.5095796,154.47658
20.33340422,129.2417973,43.04771271,33.74252337,5.758079179
39.29427273,247.9788923,57.71137936,48.76077914,7.416763296
101.2676168,605.7999289,128.3996468,72.77380414,11.26168059
39.92803143,331.87937,68.02742879,43.52661302,6.383147034
42.90615562,384.3160149,68.70980387,52.93963652,11.13629379
83.49295032,390.8726668,73.01577218,58.93179367,10.85913532
74.16985592,447.3978993,93.8782462,54.4829905,8.824618693
37.60529529,279.9372752,61.24629693,38.76814253,4.648024618
63.8692394,332.6270344,63.04953138,35.25321258,4.087321302
88.85845295,829.8756267,134.131008,80.13192884,13.48266083
78.13663419,418.9876841,100.6822093,50.01111001,5.1976073
29.50049631,228.6604707,47.75165984,37.66845316,5.227507235
64.52557634,807.2832993,98.80191355,63.95426486,11.82334092
40.04055663,300.3495562,45.37338504,53.44052165,12.2403478
38.7858364,249.1375432,77.36882577,34.66490352,3.286873567
38.66149556,253.9014798,68.46519787,51.21843063,9.602453834
31.84926825,189.2090512,46.96485551,28.4087671,4.627040948
54.25850095,589.5060739,109.223852,59.68334363,7.524208581
54.72162049,508.478743,53.52774066,49.1561646,11.88805429
29.21356065,209.1152648,49.69028338,45.3605166,8.893803627
29.76773725,230.2698158,59.49649973,46.90749739,7.662749644
41.20998151,274.4329367,69.06238483,49.03041005,5.464239563
29.75840265,148.5748367,43.14105298,42.8013854,9.498055026
2.881420034,9.678067257,4.269397489,13.28123904,2.802779555
6.266633178,11.01931931,4.450659214,12.879466,3.601204317
10.26518355,22.80727375,6.878772927,16.89741466,5.166837265
8.778838699,18.40717051,5.52823443,13.57705254,3.467687315
2.4995911,15.89032272,5.074316659,10.575161,1.634519618
5.437202909,12.07961493,5.161848166,14.0128492,3.162408802
8.684298787,14.68389024,4.774420033,13.35806876,2.858496445
6.954399523,22.75335563,5.992999806,16.8090194,4.265233059
8.284029188,9.66591186,4.548017465,12.14009774,2.137157156
9.407829755,19.13516122,5.234502887,15.16285942,3.379336481
9.536733524,12.69297817,4.275344602,11.04725978,2.002048633
4.967806993,8.868773935,3.923457882,11.14491682,1.691773935
9.735400646,15.84123144,5.780624336,14.29546743,2.559142174
2.347361904,11.44159429,4.156703864,12.56121798,2.530640914
5.15229716,20.64176885,4.848154248,12.89159441,2.31561796
5.873818598,6.052188278,4.3222971,13.92267925,3.483897299
7.622970034,12.84748108,4.674106541,14.56982048,4.951707774
6.919796058,8.373803847,4.546017271,12.25598705,2.066053549
2.069312366,15.74306013,4.785928459,13.93299347,2.867799681
3.768089438,12.99939178,4.971577944,12.41401841,2.394708603
4.841660173,15.33772355,5.192845003,15.8190393,4.269898781
6.562350094,9.951195134,4.057793681,12.61245436,2.67475387
5.903457664,7.865708149,3.647346732,10.23191473,1.418214897
6.134246266,69.064491,63.8482966,82.48437166,40.66169948
8.865278584,91.01901888,108.2768947,88.66390712,31.4124658
32.69550685,230.2466334,128.6369547,153.2777851,52.44963996
18.6552071,184.9381784,123.9968372,174.9230102,80.86643935
8.668680266,98.43107253,107.1112707,87.87671118,28.77342738
12.08878149,194.0062329,78.39673343,102.8995539,23.62090402
22.01213528,221.7570532,123.6546734,109.8111078,22.48563092
23.95633366,209.1287974,118.1793428,133.7093704,42.37742435
43.44500124,328.2868211,136.7303921,118.0230675,22.76470299
57.81915166,513.6030674,197.3693753,138.9954506,23.63105011
11.9704695,103.2094805,83.80519946,90.57111473,21.20191951
22.23361556,156.2050717,121.8773594,108.804064,21.37532908
12.1377907,130.1671529,76.38968479,87.10577593,19.48238282
12.49092593,132.6280587,100.2419339,95.00946033,22.22319726
21.17915052,190.0946084,112.8702784,89.26145797,18.17431974
7.312708407,61.58088237,66.90798395,67.30292624,17.51749258
21.72740242,173.0735663,102.727557,83.47918113,17.45553571
13.05685418,132.5931238,99.92136207,86.97155304,22.61136508
1.977713464,44.01701186,48.8850239,49.16683256,12.51711187
11.30711846,90.57000374,92.37614353,78.56946745,16.66857111
10.04536296,125.4107313,81.35517287,88.14451394,22.57450642
13.99508157,112.5918089,89.04938698,84.27156397,18.42515747
14.43171214,131.2930353,83.26553222,93.2993182,26.11228969
8.753738469,71.8221755,12.15129604,9.122682718,1.996232981
8.46839342,90.21494409,11.2463502,8.827884367,2.295008632
45.64820818,141.6455046,23.27699405,15.38577401,3.574869682
23.69938402,77.79332375,16.44404841,12.33453197,2.193072624
13.61492365,90.39358654,12.86717119,9.062512246,1.96142225
21.48866502,81.75873058,16.05857317,12.60681087,2.866104972
33.19609899,66.19140917,20.71949944,11.28614285,1.994572208
37.92623792,91.61246177,16.79980395,12.22407026,2.813656759
22.07979722,74.77318584,15.48954465,10.62247838,2.235055331
39.40001751,84.62606109,19.70597812,11.42758528,2.032474022
28.17154502,107.8108871,18.41817567,13.39064767,3.572367521
21.99729945,94.54890894,16.68390001,10.03015682,1.936132517
24.2487337,73.40122753,16.6450771,10.38718406,2.160054073
9.95895425,69.97717613,19.10944163,8.187236557,1.734334854
30.03503354,109.3060103,24.55603934,11.29208883,2.195694091
7.058088182,99.74738383,15.87512546,9.616359252,2.278699917
13.13773081,89.12079238,14.65828167,8.826430277,2.484522209
30.8918564,94.35740978,17.40465862,11.63515754,2.554408511
4.402564977,67.38600024,10.66548347,7.772893261,1.945378839
9.492063566,58.26614919,10.92965647,9.507271785,2.623261847
11.06215291,59.15782521,10.12570203,9.244743386,2.479003356
17.90710609,83.11170267,10.84104942,9.326263102,2.388649415
26.93676751,76.59630078,13.26456625,10.8778242,2.074572538
1.710575488,21.09373609,8.157948842,22.80885601,4.987235025
9.307554934,41.96551097,11.97059312,22.75771316,4.922479499
42.23127142,111.2708896,31.06627674,48.97883483,11.98071198
15.74276449,62.34748015,20.17165505,30.12319433,6.237350941
4.932124814,25.94333862,8.976581657,21.03249224,4.316083152
1.705716425,18.95493325,8.359192651,22.97607185,4.206953923
13.55872086,67.39045264,16.26103933,28.02735656,4.895050832
4.199915823,30.28272932,9.665366652,23.31511691,4.440403489
33.01652327,178.5898961,24.673509,27.1971504,5.247535887
31.23858932,100.6065701,25.83104372,29.48675359,4.958586778
8.769131912,44.26599467,11.92639886,23.78654043,4.943781793
15.47750163,50.66283104,16.34642548,28.9469795,5.416158133
5.081507095,33.1281784,11.65218369,24.43390263,5.996518281
4.412292856,28.99918879,8.857450736,22.04600808,4.461646593
10.70603798,58.91245557,14.29817658,24.60208745,4.491686006
3.97141271,47.70439322,8.653980095,22.64685948,4.764997574
7.862263587,79.50024557,11.82927788,22.0676845,4.440958055
4.182783932,34.85869512,13.12470557,24.73836335,6.023748059
8.614880161,227.3256127,23.66020713,25.291077,6.196555776
7.782714875,38.83913864,10.84969213,25.34455259,5.796256859
10.02928923,49.32820174,13.22999665,21.16569481,4.363356061
11.5789225,36.47396643,13.17296591,24.79275643,5.419973173
12.84796914,44.11707522,13.68570724,22.91759503,4.534955324
40.96176463,34.7320181,19.07452703,25.71528702,5.655649975
70.13243269,50.62016196,21.26705245,22.76191397,3.44731431
89.31451103,56.44968638,23.94188924,27.77698927,4.312577586
101.7768039,65.92264621,25.76021485,30.61792518,5.661772423
56.78312927,50.14447657,20.15181934,26.99827172,4.479294224
82.42742236,56.03493245,24.33926432,26.9050318,4.464690079
82.16031974,44.8989699,22.88401174,31.02269495,6.956459885
113.4140937,61.74675859,25.70027705,26.70686282,4.319944692
84.26383354,51.45426874,23.48660096,22.97266993,3.269304036
146.3059962,89.38683478,37.49756888,34.30573418,4.897640406
61.8901701,41.85718017,23.96805975,30.50345928,7.856954067
98.09062474,59.73005593,22.84811608,27.46443388,4.610278493
110.7077472,68.88455323,29.83426285,26.63594526,3.975753997
66.16638833,51.55807665,23.43854984,25.78222558,6.738289725
78.71290577,45.2991966,22.58207467,29.65864869,6.135564918
64.0094053,37.71636352,23.90461157,27.28407807,4.981476709
49.96391008,34.18549412,25.74420518,25.85174601,4.459278312
138.2592171,87.21549664,31.21250649,32.91325375,5.298266594
17.98416054,23.8814486,14.51143257,23.62289171,5.380948245
35.82003867,35.33453231,19.922854,24.21930517,4.1033935
52.77725939,40.11112471,17.31726714,24.26163246,5.730081039
159.2765581,65.08234387,23.22251845,27.13390632,5.374732489
87.78680835,44.54012265,19.60483612,25.90758814,4.798931104
10.44348484,53.46571251,17.15129002,31.64965277,16.61528783
19.31005467,326.2838453,29.67393738,31.21428943,11.098936
167.4253466,477.294571,90.74390321,62.30710255,11.84316104
93.81149525,561.7073729,51.87573287,43.20697159,16.39295752
10.9988166,41.86958418,16.60846683,34.70049922,15.85370047
17.96119086,48.32247015,19.44219198,30.54317172,10.34755697
15.05538785,47.1131187,19.42121688,43.60624472,24.05967417
51.73154255,52.60627532,21.81426219,41.76011687,22.00264092
77.51760549,184.0853334,33.0523912,38.47251972,16.95498945
67.34684151,234.6679277,36.09143196,43.25676705,28.24118572
4.007848437,38.39701527,13.46726289,23.48154909,10.93403845
12.53541768,31.1924441,15.15304298,29.40492491,14.87911975
7.510913386,35.65413489,14.40537447,24.05483196,10.05833065
35.32603209,201.7004233,28.91933471,39.57355253,22.51722071
43.46691637,174.1218833,30.96870282,29.29531087,12.85236666
10.09925136,100.0401071,16.59871965,32.47060656,17.81670798
4.963871285,30.51911398,10.71300468,20.44947243,9.675602803
37.58244363,117.0787397,30.85124438,30.60541778,10.93756097
3.674932583,22.63992395,12.02759573,30.39330422,18.80011774
25.3501314,232.9139676,24.16932645,22.80678855,9.882420825
23.66017036,160.078009,32.66632684,42.116938,18.17295761
41.16710093,502.0326714,35.13195872,34.94720607,16.17648527
41.37802342,275.8487535,24.9645025,33.47429613,13.74338878
