Delta,Theta,Alpha,Beta,Gamma
471.575403,1596.875623,112.7093665,66.11753551,35.58797279
429.0666391,2543.338573,221.1465002,67.71203866,39.83546276
26.43385223,153.8710512,34.34608069,25.54696386,8.457625255
26.84981305,31.74549301,12.25139339,18.3938516,7.824480258
34.84480279,42.38657826,16.61879971,20.96396598,8.564405484
125.4828619,88.46556823,26.77117883,27.56081803,7.472365853
121.0824159,52.8052826,16.7457549,20.38839327,5.953059405
51.36847706,42.83683714,16.57168873,20.4858617,8.988431382
100.4103798,37.12195693,14.95710896,19.40733016,8.315139898
73.47582944,46.2346153,14.81508865,22.15176337,13.31972003
91.34074726,44.72940387,13.75829849,20.70795837,9.474023854
141.2543626,51.88588148,15.82178408,20.23858111,8.476484856
116.7130643,58.62065108,20.86427946,24.02507691,9.397917931
129.5245427,75.83956017,24.53979743,24.65339108,8.917832743
59.13992769,39.25284902,14.28394375,19.5046671,7.316740468
72.04236246,48.13811261,14.75114279,18.04474957,6.550979469
37.73170543,36.14513454,15.20855687,18.04117582,7.771782477
88.8551377,39.78697834,12.78127664,20.98653674,10.65352547
36.16101612,38.42925714,11.76960065,18.07842703,6.513969163
59.50134933,39.64867459,13.81043533,20.4400403,8.764516356
68.28933775,89.76382592,24.55936866,25.85689919,7.111884079
10.57052326,12.15000109,7.158916241,14.92366642,9.588281302
31.53010133,25.45927125,9.707487988,18.17440489,9.508028455
32.41938158,38.14822936,13.65241569,19.54032565,7.198230181
17.07098094,20.69399062,9.210469834,16.10189162,7.605935588
44.68245619,25.3934127,11.51611574,18.23341127,8.883805678
74.57914822,839.139844,123.0486507,84.29416815,37.01069096
79.59536819,1400.384198,272.252418,96.46008307,36.45376133
61.08588625,500.7442628,107.282287,162.7472488,109.5182423
66.90842082,857.0121409,167.8325311,169.0284481,123.8604872
27.03160816,348.8548227,93.82179839,180.2473716,128.6410749
117.4649894,2105.092381,283.7904056,97.36456427,43.08599302
89.80730202,816.8664932,165.8012183,107.4932649,54.74566612
97.47664068,2687.919078,247.8224107,88.94621721,26.25222422
154.8970153,2560.306583,285.3603677,107.1848215,23.31869852
171.2602905,1564.508951,233.3984444,116.225909,49.06560435
36.0136086,372.6596819,92.19307376,77.64658226,30.06795054
58.18015366,795.6206882,151.5391685,96.29494009,37.813205
136.4815146,2695.74418,292.256013,92.00316932,41.47390236
24.1560598,313.8962826,65.21074847,90.78492284,66.55992226
64.06348195,603.6201237,111.2793773,130.6203608,91.30523421
93.70514071,1211.759089,148.0897498,110.9617221,46.27515743
118.5910114,1475.381658,223.5174955,87.10843763,29.49711523
66.37190919,728.4332825,121.9405641,79.70551949,28.88883902
9.415114794,114.2626207,31.78515785,73.0707395,57.98899915
30.18152029,283.3516556,90.05372551,230.1682625,288.3550686
138.9742864,1497.006998,232.5145924,139.077451,101.6750193
113.0472428,3414.861842,331.2554002,92.77720837,35.1726779
482.3658967,6100.548262,1106.802599,587.2461027,166.7011958
13.54374967,235.6101838,25.66253819,29.18381784,10.15018114
13.8795142,267.2781595,29.62723004,22.85946292,5.004019787
34.17494903,397.2729488,45.19407972,38.61297915,14.36588703
23.8692046,205.2874733,31.28579658,34.29694662,13.10688709
28.44973262,294.6498814,34.56641143,28.94207362,9.11890573
18.97299365,190.638886,27.81768208,26.71255888,7.585612357
33.5565806,421.6939331,39.36529414,31.12626585,8.064789625
41.9943293,419.763195,39.81074342,29.95260753,6.450102151
68.33558056,423.329283,49.65039456,29.46008719,6.223898332
69.31513733,531.2155448,55.51241279,34.78694939,7.185874668
15.52955945,254.2834841,33.11676819,28.93599821,8.82728335
29.66150329,263.6070265,35.525118,28.46501584,6.27512245
61.16233214,433.8565611,46.45393412,31.057584,6.364753389
34.58456861,362.1098668,34.90867353,30.96308631,10.77037392
