File Name,Window,Spectral Centroid,Centroid Spread,Centroid Skewness,Spectral Entropy,Spectral Flux,Fundamental Tone Difference
13_Bright Eyes 34;First Day Of My Life34;-YTConverter.WAV,1,1794.3054811325883,101.98403560715633,0.015460662964046856,9.939161,3503.297,0.7567997274184945
16_Darkest Things.WAV,1,3100.0952498020333,313.9456787197842,-0.10702123460819954,9.814254,5386.8975,0.7797537109552436
15_Bishop Allen - Butterfly Nets-YTConverter.WAV,1,1729.9588403253874,130.34616509370025,-0.062403517585275174,8.6657095,5402.616,1.0260921791861757
31_MORTEMIA - The One I Once Was (Official).WAV,1,2800.888353988436,139.69126578502124,-0.5521753184778876,9.611766,6757.3906,1.8391850941160393
"4_Love Shack (Lyrics) (From tick, tick..Boom).WAV",1,4535.046510746598,117.15180469626513,0.4838813310110798,11.403127,3116.253,1.9652926537041262
9_Queen_I Want to Break Free-YTConverter.WAV,1,4401.684350804784,119.48940302717654,-1.1545803431250123,9.418351,2265.2112,1.228996049551435
7_Benney_Benassi_Satisfaction.WAV,1,3282.0321632780187,423.6687972070097,0.571259298219722,8.125419,9490.762,1.054307711605091
6_blink-182 - First Date (Official Video)-YTConverter.WAV,1,4116.950149469106,83.77068668597153,0.3360322781404788,10.632895,2730.1863,1.4805271207722277
2_Scotty Doesn't Know.WAV,1,3720.684205729386,256.44268293029114,-0.4926909153316943,9.273091,5520.5728,1.2032351484619912
34_Dj Paul Elstak - Hardcore State Of Mind.WAV,1,4271.6718451963025,64.23951151730513,0.25725196833175934,9.592091,11366.051,1.581642479502449
23_Wilco-How To Fight loneliness.WAV,1,3301.852932195365,86.56636064123582,-0.785514670781219,9.161296,4468.475,1.6059473942607754
22_Porcupine Tree - 34;Normal34; Peaceville Record.WAV,1,2829.287475192193,65.0626516554014,0.1446659695724133,9.4727335,972.8455,0.9164674355414709
27_Madonna - Rain (Official Video) [HD].WAV,1,3426.688194064668,103.62395727811517,-0.32801128985820144,7.2536416,4812.2383,0.5926588804011791
5_Blur - Song 2-YTConverter.WAV,1,3409.3359235450666,64.73420158803717,-0.005619261530187115,10.629515,1338.6947,1.3836912517939353
33_Dead To Fall - Bastard Set of Dreams.WAV,1,3292.813194108544,128.70561965506425,-0.4638076296487308,9.396365,6118.86,1.7092989781643644
29_Christina Aguilera - Hurt (Official Video).WAV,1,3588.7652250640745,167.15447044358737,-0.2122460467810252,10.652795,5787.114,1.4372948421396925
30_Enya - May it be (Saving Private Ryan).WAV,1,1958.842881237326,143.42172517416688,0.2595997317284421,9.35504,2099.0542,1.0692835929978834
20_Taylor Swift - Love Story-YTConverter 15.41.24.WAV,1,3339.9233833311873,108.17429249153726,0.7947427678349478,10.260465,731.35693,0.6817471104251241
18_What A Wonderful World (Official Video).WAV,1,3115.1188517341716,41.955684360706215,0.07554185166637399,10.129301,997.3763,0.79377561773857
21_Billie Holiday - Gloomy Sunday (Take 1 - Offici.WAV,1,1598.9044602307124,42.11558047120907,-0.660121916816148,10.225712,3322.5376,1.0584975533450727
17_AIR - All I Need (feat. Beth Hirsch) .WAV,1,2248.5726387825603,309.96221179828933,-1.3118921349872141,9.760845,4349.6616,1.058961978298366
